journal,author,title,translated year,author name in english,original title,first published year,genre,Additional comments
Vsesvit,Азімов Айзек,Зелені цяточки: Оповідання,1989,Isaac Asimov,Green Patches,1950,,"first published under the title ""Misbegotten Missionary"" in 1950, reprinted in 1969 under the new title"
Vsesvit,Азімов Айзек,І що воно таке - кохання?: Оповідання,1987,Isaac Asimov,What Is This Thing Called Love,1961,," first published in 1961 as ""Playboy and the Slime God"", later renamed uner the new title in 1969"
Vsesvit,Азімов Айзек,Сховище: Оповідання,1970,Isaac Asimov,"Foster, you're dead!",1955,,"short story by Philip K. Dick published under the title 'Foster, you're dead!' in 1955, was published in Ogonek in 1950s"
Vsesvit,Аллен Вуді,Бог: П’єса,1981,Woody Allen,God,1975,,"part of Without Feathers book, publisher Random Pinguin House"
Vsesvit,Аллен Вуді,Про мафію і про літературу: Гуморески,1991,Woody Allen,A Look at the Organized Crime,1970,,"Published in the New Yorker Magazine under the tutle ""A look at the organized crime', in journal mentioned like Woody Allen. Getting Even - Warner books"
Vsesvit,Апдайк Джон,Кизилове дерево: Оповідання,1969,John Updike,The Dogwood Tree: a Boyhood,1962,,published in Martin Levin's Five Boyhoods
Vsesvit,Артур Роберт,Жартівник: Оповідання,1986,Robert Arthur Jr.,The Jokester,1952,,
Vsesvit,Бартелм [Бартельм] Дональд,Геть корисні поради: Гумореска,1965,Donald Barthelme,Down the Line with the Annual,1964,,published in the New Yorker
Vsesvit,Бах Річард,Ілюзії (Пригоди Месії мимоволі): Повість,1989,Richard Bach,Illusions: The Adventures of a Reluctant Messiah,1977,,
Vsesvit,Бейкер С. & Герні Е,Як співіснувати з неврастенічним собакою: Гумореска,1968,Stephen Baker,How to Live With Neurotic Dog,1960,,
Vsesvit,Беллоу Сол,"Гендерсон, повелитель дощу: Роман",1991,Saul Bellow,Henderson the Rain King,1959,,
Vsesvit,Бессі Альва,Символ: Роман,1971,Alvah Bessie,The Symbol,1966,,
Vsesvit,Бестер Альфред,"Зачекайте хвилинку, будь ласка’: Оповідання",1971,Alfred Bester,Will you wait?,1959,,
Vsesvit,Блетті Вільям Пітер,Екзорсист: Повість,1987,William Peter Blatty,The Exorcist,1971,,
Vsesvit,Болл Джон,Розправа з біржовиками: Роман,1983,John Ball,The Killing in The Market,1978,,
Vsesvit,Браун Фредерік [Фредрік],У кожного своє хобі: Оповідання,1983,Fredric Brown,Hobbyist,1961,,
Vsesvit,Бредбері Рей,Велика пожежа,1984,Ray Bradbury,The Great Fire,1949,,originally puplished in Seventeen
Vsesvit,Бредбері Рей,Круки,1984,Ray Bradbury, A Flight of Ravens,1952,,originally piblished in California Quarterly in 1951
Vsesvit,Бредбері Рей,Жебрак на мосту О’Коннела,1984,Ray Bradbury,The Beggar on the Dublin Bridge,1961,,
Vsesvit,Бредбері Рей,Коли переносять могили,1984,Ray Bradbury,The Tombling Day,1952,,
Vsesvit,Бредбері Рей,Історія одного кохання,1984,Ray Bradbury,These Things Happen/Story of Love,1951,,
Vsesvit,Бредбері Рей,Далеко за північ: Оповідання,1984,Ray Bradbury,Long After Midnight,1976,,
Vsesvit,Бредбері Рей,Джордж Бернард Шоу - модель 5: Оповідання,1979,Ray Bradbury,G.B.S. - Mark 5,1976,,
Vsesvit,Бредбері Рей,"Марсіанська хроніка: Фантаст, роман",1962,Ray Bradbury,The Martian Chronicles,1950,,
Vsesvit,Бредбері Рей,Ракета: Оповідання,1964,Ray Bradbury,The Rocket,1950,,also included in The Illustrated Man collection 
Vsesvit,Бредбері Рей,Смерть - діло самотнє: Роман,1988,Ray Bradbury,Death Is a Lonely Business,1985,,
Vsesvit,Бредбері Рей,"Той, що чекає",1983,Ray Bradbury,The One who Waits,1949,,"first published in 1949, but Vsesvit mentiones a collection from 1964 where this text was inclided"
Vsesvit,Бредбері Рей,Убивця: Оповідання,1983,Ray Bradbury,The Murderer,1952,,
Vsesvit,Бредбері Рей,Усмішка: Оповідання,1985,Ray Bradbury,The Smile,1952,,
Vsesvit,Бухвальд Ap,Педагог,1970,Art Buchwald,,,,
Vsesvit,Бухвальд Ap,Несправжній американець: Фейлетони,1970,Art Buchwald,,,,
Vsesvit,Бухвальд Ap,Сер Уїнстон [Черчілль] - американець: Фейлетон,1963,Art Buchwald,,,,
Vsesvit,Вассермен Дейл,А за тим пропав і слід (Політ над гніздом зозулі): П’єса за романом Кена Кізі,1987,Dale Wasserman,One Flew Over the Cuckoo's Nest,1962,,
Vsesvit,Відал Гор,Сотворіння світу: Роман,1989,Gore Vidal,Creation,1981,,
Vsesvit,Вілсон Колін,Паразити свідомості: Роман,1988,Colin Wilson,The Mind Parasites,1967,,
Vsesvit,Воннегут Курт,"Балаган, або Кінець самотності!: Роман",1984,Kurt Vonnegut,"Slapstick, or Lonesome No More!",1976,,
Vsesvit,Воннегут Курт,"Все завтра, та все завтра, та все завтра: Оповідання",1979,Kurt Vonnegut,Tomorrow and Tomorrow and Tomorrow/The Big Trip Up Yonder,1954,,
Vsesvit,Воннегут Курт,Галапагос: Роман,1990,Kurt Vonnegut,Galápagos,1985,,
Vsesvit,Воннегут Курт,Сила духу: Новела-сценарій,1983,Kurt Vonnegut,Fortitude,1968,,
Vsesvit,Вудгаус Пелем Гренвілл,Дивовижна пригода з натурником: Гумореска,1988,P. G. Wodehouse,Strange Experience of an Artist's Model,1921,Humor short story,"was born and raised in Great Britain, but his works were wrtitten in the US"
Vsesvit,Вулф Томас,"Додому нема вороття: Урив, з роману",1973,Thomas Wolfe,You Can't Go Home Again,1940,,
Vsesvit,Галпер Альберт,Юніон-сквер: Роман,1970,Albert Halper,Union Square,1933,,
Vsesvit,Гаррісон Вільям,Ролербол: Оповідання,1980,William Harrison,Roller Ball Murder,1974,,
Vsesvit,Гаррісон Гаррі,"Білл, герой Галактики: Роман",1991,Harry Harrison,"Bill, The Galactic Hero",1965,,
Vsesvit,Гоч Едвард [Едвард Д.],Я тебе всюди впізнаю: Оповідання,1972,Edward D. Hoch,I'd Know You Anywhere,1963,Thriller,
Vsesvit,Грехем Маргарет,"Щоб легше дихалось: [Урив, з роману]",1958,,,,,
Vsesvit,Дідіон Джоан,Демократія: Роман,1988,Joan Didion,Democracy,1984,,
